STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,143,3276,16766,24683,27901,30620,54523,157912,5.40%
VIC,77,5580,29250,33925,32205,30395,40482,171914,7.60%
QLD,62,2927,16448,22716,25845,26669,39798,134465,7.40%
SA,2953,9504,12134,11650,13170,13602,21997,85010,12.80%
WA,31,3444,17063,19772,20733,19799,25935,106777,10.50%
TAS,2,647,2644,3069,3698,4388,5842,20290,10.00%
NT,1,134,855,1046,1092,1014,719,4861,4.90%
ACT,8,660,3170,3217,2990,2615,3130,15790,10.40%
TOTAL,3277,26172,98330,120078,127634,129102,192426,697019,7.60%
