STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,408525,22.42%,0.02%
VIC,457100,25.09%,0.23%
QLD,359633,19.74%,0.34%
SA,208689,11.45%,0.38%
WA,279184,15.32%,0.14%
TAS,54805,3.01%,0.12%
NT,13508,0.74%,0.16%
ACT,40664,2.23%,0.39%
TOTAL,1822108,100.00%,0.21%
