STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,293191,22.79%,0.43%
VIC,308693,24.00%,0.51%
QLD,276527,21.50%,0.45%
SA,126290,9.82%,0.91%
WA,206443,16.05%,0.90%
TAS,40418,3.14%,0.46%
NT,9376,0.73%,1.08%
ACT,25404,1.97%,0.86%
TOTAL,1286342,100.00%,0.59%
