breakdown,category,persons_000,pct
Scam type,Information request or phishing,106.9,17.9
Scam type,Computer support,14.3,2.4
Scam type,Financial advice,69.1,11.6
Scam type,Upfront payment,66.9,11.2
Scam type,Buying or selling,306.4,51.4
Scam type,Relationship or romance,14.8,2.5
Scam type,Threats or extortion,15.7,2.6
Scam type,Other,24,4
Number of scam types experienced,One,545.7,91.5
Number of scam types experienced,More than one,31,5.2
Number of scam types experienced,At least one scam,596.6,100
