fraud_type,state,financial_year,persons_estimate_000,victimisation_rate_pct
Total personal fraud or online impersonation,Victoria,2022-23,694.7,12.9
Total personal fraud or online impersonation,Victoria,2023-24,763.3,13.7
Total personal fraud or online impersonation,Victoria,2024-25,824.2,14.5
Total personal fraud or online impersonation,Queensland,2014-15,na,na
Total personal fraud or online impersonation,Queensland,2020-21,na,na
Total personal fraud or online impersonation,Queensland,2021-22,496.3,12
Total personal fraud or online impersonation,Queensland,2022-23,546.7,12.9
Total personal fraud or online impersonation,Queensland,2023-24,644.4,14.7
Total personal fraud or online impersonation,Queensland,2024-25,683.7,15.4
Total personal fraud or online impersonation,South Australia,2014-15,na,na
Total personal fraud or online impersonation,South Australia,2020-21,na,na
Total personal fraud or online impersonation,South Australia,2021-22,168.4,11.6
Total personal fraud or online impersonation,South Australia,2022-23,176.3,11.9
Total personal fraud or online impersonation,South Australia,2023-24,188.2,12.4
Total personal fraud or online impersonation,South Australia,2024-25,190,12.4
Total personal fraud or online impersonation,Western Australia,2014-15,na,na
Total personal fraud or online impersonation,Western Australia,2020-21,na,na
Total personal fraud or online impersonation,Western Australia,2021-22,292,13.6
Total personal fraud or online impersonation,Western Australia,2022-23,254.9,11.5
Total personal fraud or online impersonation,Western Australia,2023-24,365.3,15.7
Total personal fraud or online impersonation,Western Australia,2024-25,385.1,16.3
Total personal fraud or online impersonation,Tasmania,2014-15,na,na
Total personal fraud or online impersonation,Tasmania,2020-21,na,na
Total personal fraud or online impersonation,Tasmania,2021-22,52.7,11.4
Total personal fraud or online impersonation,Tasmania,2022-23,53.1,11.4
Total personal fraud or online impersonation,Tasmania,2023-24,72.6,15.4
Total personal fraud or online impersonation,Tasmania,2024-25,57.2,12.2
Total personal fraud or online impersonation,Northern Territory,2014-15,na,na
Total personal fraud or online impersonation,Northern Territory,2020-21,na,na
Total personal fraud or online impersonation,Northern Territory,2021-22,16.2,11
Total personal fraud or online impersonation,Northern Territory,2022-23,19.7,13.2
Total personal fraud or online impersonation,Northern Territory,2023-24,27,14.3
Total personal fraud or online impersonation,Northern Territory,2024-25,23.9,15
Total personal fraud or online impersonation,Australian Capital Territory,2014-15,na,na
Total personal fraud or online impersonation,Australian Capital Territory,2020-21,na,na
Total personal fraud or online impersonation,Australian Capital Territory,2021-22,47,13.4
Total personal fraud or online impersonation,Australian Capital Territory,2022-23,51.1,14.3
