STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,99584,227783,250348,226564,161390,147775,1113444,42.10%
VIC,17915,48582,45221,41045,28836,25215,206814,10.59%
QLD,70323,96964,81398,52919,33537,22067,357208,23.22%
SA,35086,56008,58152,57203,43597,38448,288494,47.41%
WA,9543,52449,65756,58355,42490,40258,268851,34.10%
TAS,2300,15902,19813,19450,14086,14326,85877,46.08%
NT,180,797,1294,1034,699,287,4291,5.43%
ACT,726,2637,3218,2730,2037,1382,12730,10.04%
Other,0,6,21,27,16,5,75,0.00%
TOTAL,235657,501128,525221,459327,326688,289763,2337784,29.50%
