STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2208729,46.19%,-0.19%
VIC,502391,10.51%,-0.24%
QLD,702740,14.70%,-0.29%
SA,592873,12.40%,-0.32%
WA,559701,11.70%,-0.47%
TAS,173733,3.63%,-0.36%
NT,10434,0.22%,-0.44%
ACT,31019,0.65%,-0.91%
Other,160,0.00%,0.00%
TOTAL,4781780,100.00%,-0.27%
