STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1980261,46.50%,0.02%
VIC,426573,10.02%,0.08%
QLD,616376,14.47%,0.04%
SA,623447,14.64%,0.32%
WA,441112,10.36%,-0.01%
TAS,139781,3.28%,0.01%
NT,7141,0.17%,0.04%
ACT,24369,0.57%,0.17%
TOTAL,4259060,100.00%,0.07%
