STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,320615,22.18%,0.39%
VIC,349008,24.14%,0.51%
QLD,304081,21.03%,0.36%
SA,148052,10.24%,0.77%
WA,237468,16.43%,0.60%
TAS,44758,3.10%,0.39%
NT,11386,0.79%,0.53%
ACT,30391,2.10%,0.53%
TOTAL,1445759,100.00%,0.49%
