STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,49135,202650,238008,226406,170414,149919,1036532,38.13%
VIC,5842,43433,43322,40451,29110,24996,187154,9.03%
QLD,41607,93198,81148,54106,33589,22529,326177,19.60%
SA,28402,57262,56261,56222,45050,38565,281762,44.55%
WA,2363,38996,57697,54737,41459,35733,230985,26.94%
TAS,466,11510,17133,17727,13690,12988,73514,38.28%
NT,113,476,1072,903,583,261,3408,3.97%
ACT,385,1876,2776,2440,1816,1305,10598,7.79%
TOTAL,128313,449401,497417,452992,335711,286296,2150130,25.72%
