STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2029568,47.25%,-0.06%
VIC,443707,10.33%,-0.06%
QLD,626964,14.60%,-0.07%
SA,552804,12.87%,0.42%
WA,463980,10.80%,-0.23%
TAS,145851,3.40%,-0.10%
NT,7850,0.18%,0.00%
ACT,25009,0.58%,-0.10%
TOTAL,4295733,100.00%,-0.02%
