"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,1542,120965,219137,228591,199459,238790,1008484,34.6%
VIC,1657,24656,44191,39990,33164,36950,180608,8.0%
QLD,1399,78789,89728,68767,43574,38739,320996,17.7%
SA,32167,67223,66030,62673,54514,64358,346965,52.1%
WA,692,13703,48017,55056,47004,56008,220480,21.8%
TAS,185,3377,14527,16737,15840,19977,70643,34.8%
NT,37,306,738,1000,695,428,3204,3.2%
ACT,189,1245,2463,2563,2003,1970,10433,6.9%
TOTAL,37868,310264,484831,475377,396253,457220,2161813,23.7%
