"STATE","Grand Total Intent Registrations","State % of Total Intent Registrations","% Variance from previous month"
NSW,1964317,45.83%,-0.04%
VIC,428000,9.99%,-0.01%
QLD,618321,14.43%,-0.01%
SA,663876,15.49%,0.23%
WA,440127,10.27%,-0.02%
TAS,138998,3.24%,-0.04%
NT,7196,0.17%,0.24%
ACT,25056,0.58%,-0.06%
TOTAL,4285891,100.00%,0.01%
