"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,4934,121781,220950,224749,185555,197831,955800,31.8%
VIC,5527,35471,63895,53022,42014,43719,243648,10.4%
QLD,5185,73611,79841,64308,40604,33774,297323,16.0%
SA,29371,60837,61508,59800,51242,54060,316818,46.0%
WA,2201,16271,49178,55320,45493,49896,218359,22.0%
TAS,601,4243,14429,16771,15013,17298,68355,32.8%
NT,180,631,1049,1094,660,378,3992,4.6%
ACT,648,2375,3748,3237,2336,2279,14623,9.4%
TOTAL,48647,315220,494598,478301,382917,399235,2118918,22.7%
