STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,381929,22.02%,0.65%
VIC,433694,25.00%,0.49%
QLD,345332,19.91%,0.31%
SA,195017,11.24%,0.71%
WA,272834,15.73%,0.21%
TAS,53446,3.08%,0.17%
NT,13415,0.77%,-0.09%
ACT,38767,2.24%,0.56%
TOTAL,1734434,100.00%,0.46%
