Financial Quarter And Year Name - Reported,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence Count
Q1-2025/2026,5125,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,5
Q1-2025/2026,5125,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
Q1-2025/2026,5125,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,3
Q1-2025/2026,5125,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,14
Q1-2025/2026,5125,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5126,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
Q1-2025/2026,5126,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,4
Q1-2025/2026,5127,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5127,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5127,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,10
Q1-2025/2026,5127,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5152,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
Q1-2025/2026,5152,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,5
Q1-2025/2026,5152,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5152,OFFENCES AGAINST THE PERSON,"ROBBERY, BLACKMAIL, AND EXTORTION",Blackmail or other extortion,1
Q1-2025/2026,5153,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,3
Q1-2025/2026,5153,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,2
Q1-2025/2026,5153,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5154,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,3
Q1-2025/2026,5155,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
Q1-2025/2026,5155,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5157,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
Q1-2025/2026,5157,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,4
Q1-2025/2026,5158,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,8
Q1-2025/2026,5158,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5158,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,36
Q1-2025/2026,5158,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5158,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,2
Q1-2025/2026,5159,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,13
Q1-2025/2026,5159,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5159,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
Q1-2025/2026,5159,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
Q1-2025/2026,5159,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,1
Q1-2025/2026,5159,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
Q1-2025/2026,5159,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,19
Q1-2025/2026,5161,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5161,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
