Financial Quarter And Year Name - Reported,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence Count
Q1-2025/2026,5023,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5024,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5024,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,8
Q1-2025/2026,5024,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",2
Q1-2025/2026,5025,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
Q1-2025/2026,5025,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5025,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
Q1-2025/2026,5025,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5025,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,7
Q1-2025/2026,5025,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5031,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5031,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5031,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,1
Q1-2025/2026,5031,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,8
Q1-2025/2026,5031,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5032,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
Q1-2025/2026,5032,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5032,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5032,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
