State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,144,3639,17415,25027,29340,32220,58396,166181,5.6%
VIC,87,5054,30003,34371,33592,31655,43572,178334,7.7%
QLD,87,2849,16502,23087,26905,27729,42555,139714,7.6%
SA,3039,9195,13461,11782,13575,13970,23341,88363,13.1%
WA,31,2726,17112,19730,21255,20427,27589,108870,10.6%
TAS,10,553,2646,3112,3758,4481,6296,20856,10.2%
NT,1,109,829,1059,1144,1034,786,4962,5.0%
ACT,10,588,3284,3283,3149,2749,3444,16507,10.8%
TOTAL,3409,24713,101252,121451,132718,134265,205979,723787,7.8%
