State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,434369,22.80%,0.61%
VIC,476879,25.04%,0.55%
QLD,377409,19.81%,0.56%
SA,217004,11.39%,0.25%
WA,286122,15.02%,0.25%
TAS,56647,2.97%,0.31%
NT,13807,0.72%,0.29%
ACT,42607,2.24%,0.53%
TOTAL,1904844,100.00%,0.48%
