State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,459,9954,39638,50514,47564,47938,72121,268188,8.8%
VIC,334,16475,65717,62517,52583,46021,54898,298545,12.5%
QLD,435,10153,41457,47618,45044,41895,51093,237695,12.6%
SA,3196,13784,23197,19903,20052,19984,28525,128641,18.5%
WA,151,7971,37105,36430,33167,29332,33096,177252,17.6%
TAS,53,1993,6169,6306,6758,6915,7597,35791,17.1%
NT,8,406,2316,2172,1801,1309,833,8845,10.2%
ACT,31,1614,6297,5706,4444,3731,4277,26100,16.6%
TOTAL,4667,62350,221896,231166,211413,197125,252440,1181057,12.4%
