State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,458,10393,40989,51740,48279,48413,72596,272868,8.90%
VIC,336,16760,66687,63250,53206,46417,55362,302018,12.60%
QLD,432,10522,42373,48372,45527,42190,51462,240878,12.80%
SA,3211,13880,23486,20040,20204,20068,28705,129594,18.60%
WA,145,7993,37449,36723,33415,29471,33267,178463,17.70%
TAS,52,1992,6209,6380,6797,6956,7652,36038,17.20%
NT,10,413,2347,2191,1801,1318,836,8916,10.20%
ACT,26,1650,6369,5784,4511,3741,4318,26399,16.80%
TOTAL,4670,63603,225909,234480,213740,198574,254198,1195174,12.60%
