State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,150,3757,17763,25423,29617,32494,58808,168012,5.70%
VIC,86,5138,30281,34647,33896,31895,43878,179821,7.80%
QLD,86,2923,16701,23304,27121,27904,42857,140896,7.70%
SA,3022,9203,13650,11845,13631,14067,23475,88893,13.20%
WA,30,2720,17214,19816,21402,20518,27700,109400,10.70%
TAS,9,553,2676,3124,3779,4492,6338,20971,10.30%
NT,1,111,841,1060,1138,1029,799,4979,5.00%
ACT,9,591,3295,3327,3173,2769,3462,16626,10.90%
TOTAL,3393,24996,102421,122546,133757,135168,207317,729598,7.90%
