State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,440880,22.91%,1.50%
VIC,481839,25.03%,1.04%
QLD,381774,19.83%,1.16%
SA,218487,11.35%,0.68%
WA,287863,14.96%,0.61%
TAS,57009,2.96%,0.64%
NT,13895,0.72%,0.64%
ACT,43025,2.24%,0.98%
TOTAL,1924772,100%,1.05%
