STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1992478,46.79%,0.00%
VIC,429301,10.08%,0.13%
QLD,618123,14.51%,0.05%
SA,603282,14.17%,0.22%
WA,443058,10.40%,0.01%
TAS,140718,3.30%,-0.06%
NT,7194,0.17%,-0.01%
ACT,24384,0.57%,0.43%
TOTAL,4258538,100.00%,0.05%
