STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1983144,46.61%,-0.19%
VIC,427165,10.04%,-0.44%
QLD,616872,14.50%,-0.21%
SA,614476,14.44%,-0.04%
WA,441760,10.38%,-0.15%
TAS,139940,3.29%,-0.17%
NT,7147,0.17%,-0.60%
ACT,24368,0.57%,-0.62%
TOTAL,4254872,100.00%,-0.19%
