STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,229160,24.50%,2.89%
VIC,225071,24.06%,3.68%
QLD,203704,21.78%,4.95%
SA,89535,9.57%,5.10%
WA,142394,15.22%,4.40%
TAS,23853,2.55%,3.91%
NT,5309,0.57%,5.17%
ACT,16326,1.75%,4.90%
Other,15,0.00%,0.00%
TOTAL,935367,100.00%,4.04%
