STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,231879,24.37%,1.19%
VIC,228611,24.03%,1.57%
QLD,208177,21.88%,2.20%
SA,91649,9.63%,2.36%
WA,144764,15.22%,1.66%
TAS,24207,2.54%,1.48%
NT,5418,0.57%,2.05%
ACT,16695,1.75%,2.26%
Other,17,0.00%,13.33%
TOTAL,951417,100.00%,1.72%
