STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,297443,22.64%,0.51%
VIC,315311,24.01%,0.74%
QLD,281337,21.42%,0.68%
SA,130406,9.93%,1.20%
WA,212110,16.15%,0.94%
TAS,40923,3.12%,0.53%
NT,9747,0.74%,0.80%
ACT,26229,2.00%,0.85%
TOTAL,1313506,100.00%,0.75%
