STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2017952,47.22%,-0.08%
VIC,440342,10.30%,-0.23%
QLD,623319,14.59%,-0.12%
SA,559272,13.09%,0.16%
WA,455718,10.66%,-0.19%
TAS,144368,3.38%,-0.11%
NT,7575,0.18%,-0.54%
ACT,24717,0.58%,-0.41%
TOTAL,4273263,100.00%,-0.09%
