STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,10597,192110,236896,222533,165955,147800,975891,32.78%
VIC,4051,55698,60747,52000,38996,33951,245443,10.66%
QLD,15810,88337,78487,55333,34540,23768,296275,16.29%
SA,23876,59685,58217,56864,44999,38964,282605,41.30%
WA,1687,30503,56229,54471,41134,36997,221021,24.01%
TAS,426,8894,16623,17662,13534,13166,70305,33.82%
NT,155,840,1212,1008,587,250,4052,4.83%
ACT,472,2910,3698,3064,2165,1710,14019,9.44%
TOTAL,57074,438977,512109,462935,341910,296606,2109611,23.07%
