STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2000705,47.02%,-0.04%
VIC,432238,10.16%,-0.09%
QLD,618984,14.55%,-0.05%
SA,583595,13.72%,0.23%
WA,445444,10.47%,-0.11%
TAS,142576,3.35%,-0.03%
NT,7256,0.17%,-0.33%
ACT,24272,0.57%,-0.16%
TOTAL,4255070,100.00%,-0.02%
