STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1971841,46.18%,-0.06%
VIC,425701,9.97%,-0.07%
QLD,616906,14.45%,-0.05%
SA,643580,15.07%,0.57%
WA,440414,10.32%,-0.05%
TAS,139364,3.26%,-0.03%
NT,7131,0.17%,0.01%
ACT,24646,0.58%,-0.16%
TOTAL,4269583,100.00%,0.04%
