STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,286747,22.99%,0.62%
VIC,299641,24.02%,0.95%
QLD,270279,21.67%,0.75%
SA,120896,9.69%,1.34%
WA,197452,15.83%,1.25%
TAS,39489,3.17%,0.56%
NT,8823,0.71%,1.48%
ACT,23931,1.92%,1.20%
TOTAL,1247258,100.00%,0.91%
