sector,reason,year,value
State Government,Section 15 - Application incomplete/wrongly directed,2024-25,5
State Government,Section 15 - Application incomplete/wrongly directed,2023-24,16
State Government,Section 15 - Application incomplete/wrongly directed,2022-23,49
State Government,Section 15 - Application incomplete/wrongly directed,2021-22,19
State Government,Section 15 - Application incomplete/wrongly directed,2020-21,12
State Government,Section 15 - Application incomplete/wrongly directed,2019-20,10
State Government,Section 15 - Application incomplete/wrongly directed,2018-19,11
State Government,Section 15 - Application incomplete/wrongly directed,2017-18,11
State Government,Section 15 - Application incomplete/wrongly directed,2016-17,25
State Government,Section 15 - Application incomplete/wrongly directed,2015-16,51
State Government,Section 15 - Application incomplete/wrongly directed,2014-15,23
State Government,Section 15 - Application incomplete/wrongly directed,2013-14,18
State Government,Section 15 - Application incomplete/wrongly directed,2012-13,6
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2024-25,31
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2023-24,24
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2022-23,108
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2021-22,42
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2020-21,56
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2019-20,109
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2018-19,25
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2017-18,80
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2016-17,36
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2015-16,20
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2014-15,50
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2013-14,31
State Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2012-13,41
State Government,Section 18(2a) - Abuse of right of access,2024-25,7
State Government,Section 18(2a) - Abuse of right of access,2023-24,15
State Government,Section 18(2a) - Abuse of right of access,2022-23,72
State Government,Section 18(2a) - Abuse of right of access,2021-22,34
State Government,Section 18(2a) - Abuse of right of access,2020-21,12
State Government,Section 18(2a) - Abuse of right of access,2019-20,91
State Government,Section 18(2a) - Abuse of right of access,2018-19,6
State Government,Section 18(2a) - Abuse of right of access,2017-18,37
State Government,Section 18(2a) - Abuse of right of access,2016-17,13
State Government,Section 18(2a) - Abuse of right of access,2015-16,2
State Government,Section 18(2a) - Abuse of right of access,2014-15,22
State Government,Section 18(2a) - Abuse of right of access,2013-14,11
State Government,Section 18(2a) - Abuse of right of access,2012-13,9
State Government,Section 18(3) - Fees not paid,2024-25,34
State Government,Section 18(3) - Fees not paid,2023-24,65
State Government,Section 18(3) - Fees not paid,2022-23,140
State Government,Section 18(3) - Fees not paid,2021-22,63
State Government,Section 18(3) - Fees not paid,2020-21,26
State Government,Section 18(3) - Fees not paid,2019-20,14
State Government,Section 18(3) - Fees not paid,2018-19,34
State Government,Section 18(3) - Fees not paid,2017-18,59
State Government,Section 18(3) - Fees not paid,2016-17,54
State Government,Section 18(3) - Fees not paid,2015-16,24
State Government,Section 18(3) - Fees not paid,2014-15,53
State Government,Section 18(3) - Fees not paid,2013-14,46
State Government,Section 18(3) - Fees not paid,2012-13,36
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2024-25,75
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2023-24,239
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2022-23,220
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2021-22,192
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2020-21,332
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2019-20,308
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2018-19,374
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2017-18,395
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2016-17,520
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2015-16,375
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2014-15,430
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2013-14,342
State Government,Section 19(2) - Deemed refusal - over 30 days to respond,2012-13,317
State Government,Section 20(1) - Exempt document,2024-25,4319
State Government,Section 20(1) - Exempt document,2023-24,2688
State Government,Section 20(1) - Exempt document,2022-23,3205
State Government,Section 20(1) - Exempt document,2021-22,3879
State Government,Section 20(1) - Exempt document,2020-21,3529
State Government,Section 20(1) - Exempt document,2019-20,3542
State Government,Section 20(1) - Exempt document,2018-19,3214
State Government,Section 20(1) - Exempt document,2017-18,3068
State Government,Section 20(1) - Exempt document,2016-17,3151
State Government,Section 20(1) - Exempt document,2015-16,2998
State Government,Section 20(1) - Exempt document,2014-15,2923
State Government,Section 20(1) - Exempt document,2013-14,3027
State Government,Section 20(1) - Exempt document,2012-13,2810
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2024-25,187
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2023-24,93
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2022-23,128
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2021-22,66
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2020-21,77
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2019-20,59
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2018-19,46
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2017-18,57
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2016-17,117
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2015-16,73
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2014-15,79
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2013-14,54
