sector,reason,year,value
State Government,Exempt agency,2024-25,27
State Government,Exempt agency,2023-24,16
State Government,Exempt agency,2022-23,55
State Government,Exempt agency,2021-22,18
State Government,Exempt agency,2020-21,33
State Government,Exempt agency,2019-20,42
State Government,Exempt agency,2018-19,22
State Government,Exempt agency,2017-18,19
State Government,Exempt agency,2016-17,19
State Government,Exempt agency,2015-16,29
State Government,Exempt agency,2014-15,22
State Government,Exempt agency,2013-14,11
State Government,Exempt agency,2012-13,568
State Government,Document does not exist/lost,2024-25,703
State Government,Document does not exist/lost,2023-24,614
State Government,Document does not exist/lost,2022-23,661
State Government,Document does not exist/lost,2021-22,460
State Government,Document does not exist/lost,2020-21,375
State Government,Document does not exist/lost,2019-20,324
State Government,Document does not exist/lost,2018-19,375
State Government,Document does not exist/lost,2017-18,385
State Government,Document does not exist/lost,2016-17,547
State Government,Document does not exist/lost,2015-16,511
State Government,Document does not exist/lost,2014-15,448
State Government,Document does not exist/lost,2013-14,454
State Government,Document does not exist/lost,2012-13,23
Local Government,Exempt agency,2024-25,1
Local Government,Exempt agency,2023-24,1
Local Government,Exempt agency,2022-23,1
Local Government,Exempt agency,2021-22,0
Local Government,Exempt agency,2020-21,0
Local Government,Exempt agency,2019-20,2
Local Government,Exempt agency,2018-19,0
Local Government,Exempt agency,2017-18,2
Local Government,Exempt agency,2016-17,1
Local Government,Exempt agency,2015-16,3
Local Government,Exempt agency,2014-15,2
Local Government,Exempt agency,2013-14,3
Local Government,Exempt agency,2012-13,47
Local Government,Document does not exist/lost,2024-25,21
Local Government,Document does not exist/lost,2023-24,50
Local Government,Document does not exist/lost,2022-23,32
Local Government,Document does not exist/lost,2021-22,33
Local Government,Document does not exist/lost,2020-21,26
Local Government,Document does not exist/lost,2019-20,35
Local Government,Document does not exist/lost,2018-19,46
Local Government,Document does not exist/lost,2017-18,25
Local Government,Document does not exist/lost,2016-17,78
Local Government,Document does not exist/lost,2015-16,29
Local Government,Document does not exist/lost,2014-15,62
Local Government,Document does not exist/lost,2013-14,20
Local Government,Document does not exist/lost,2012-13,4
Universities,Exempt agency,2024-25,0
Universities,Exempt agency,2023-24,0
Universities,Exempt agency,2022-23,0
Universities,Exempt agency,2021-22,0
Universities,Exempt agency,2020-21,0
Universities,Exempt agency,2019-20,0
Universities,Exempt agency,2018-19,0
Universities,Exempt agency,2017-18,0
Universities,Exempt agency,2016-17,0
Universities,Exempt agency,2015-16,0
Universities,Exempt agency,2014-15,0
Universities,Exempt agency,2013-14,0
Universities,Exempt agency,2012-13,3
Universities,Document does not exist/lost,2024-25,5
Universities,Document does not exist/lost,2023-24,12
Universities,Document does not exist/lost,2022-23,0
Universities,Document does not exist/lost,2021-22,0
Universities,Document does not exist/lost,2020-21,0
Universities,Document does not exist/lost,2019-20,2
Universities,Document does not exist/lost,2018-19,0
Universities,Document does not exist/lost,2017-18,2
Universities,Document does not exist/lost,2016-17,4
Universities,Document does not exist/lost,2015-16,2
Universities,Document does not exist/lost,2014-15,0
Universities,Document does not exist/lost,2013-14,1
Universities,Document does not exist/lost,2012-13,0
