sector,agency,year,value
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2022-23,0
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2021-22,1
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2020-21,1
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2019-20,0
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2018-19,1
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2016-17,1
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2015-16,1
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2014-15,1
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2013-14,0
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2012-13,2
State Government,Adelaide and Mt Lofty Ranges Natural Resources Management Board,2011-12,2
State Government,Adelaide Cemeteries Authority,2023-24,0
State Government,Adelaide Cemeteries Authority,2022-23,0
State Government,Adelaide Cemeteries Authority,2020-21,0
State Government,Adelaide Cemeteries Authority,2019-20,0
State Government,Adelaide Cemeteries Authority,2018-19,0
State Government,Adelaide Cemeteries Authority,2016-17,0
State Government,Adelaide Cemeteries Authority,2015-16,0
State Government,Adelaide Cemeteries Authority,2014-15,0
State Government,Adelaide Cemeteries Authority,2013-14,1
State Government,Adelaide Cemeteries Authority,2012-13,1
State Government,Adelaide Cemeteries Authority,2011-12,1
State Government,Adelaide Convention Centre,2020-21,0
State Government,Adelaide Convention Centre,2019-20,0
State Government,Adelaide Convention Centre,2018-19,0
State Government,Adelaide Convention Centre,2016-17,0
State Government,Adelaide Convention Centre,2015-16,0
State Government,Adelaide Convention Centre,2014-15,0
State Government,Adelaide Convention Centre,2013-14,0
State Government,Adelaide Convention Centre,2012-13,0
State Government,Adelaide Convention Centre,2011-12,2
State Government,Adelaide Entertainments Corporation,2020-21,0
State Government,Adelaide Entertainments Corporation,2019-20,0
State Government,Adelaide Entertainments Corporation,2018-19,0
State Government,Adelaide Entertainments Corporation,2016-17,0
State Government,Adelaide Entertainments Corporation,2015-16,0
State Government,Adelaide Entertainments Corporation,2014-15,0
State Government,Adelaide Entertainments Corporation,2013-14,0
State Government,Adelaide Entertainments Corporation,2012-13,0
State Government,Adelaide Entertainments Corporation,2011-12,0
State Government,Adelaide Festival Centre Trust,2023-24,0
State Government,Adelaide Festival Centre Trust,2022-23,0
State Government,Adelaide Festival Centre Trust,2020-21,0
State Government,Adelaide Festival Centre Trust,2019-20,0
State Government,Adelaide Festival Centre Trust,2018-19,1
State Government,Adelaide Festival Centre Trust,2016-17,1
State Government,Adelaide Festival Centre Trust,2015-16,0
State Government,Adelaide Festival Centre Trust,2014-15,1
State Government,Adelaide Festival Centre Trust,2013-14,3
State Government,Adelaide Festival Centre Trust,2012-13,0
State Government,Adelaide Festival Centre Trust,2011-12,1
State Government,Adelaide Festival Corporation,2023-24,0
State Government,Adelaide Festival Corporation,2022-23,0
State Government,Adelaide Festival Corporation,2020-21,0
State Government,Adelaide Festival Corporation,2019-20,0
State Government,Adelaide Festival Corporation,2018-19,0
State Government,Adelaide Festival Corporation,2016-17,0
State Government,Adelaide Festival Corporation,2015-16,0
State Government,Adelaide Festival Corporation,2014-15,0
State Government,Adelaide Festival Corporation,2013-14,0
