sector,year,value
State Government,2021-22,68
State Government,2020-21,72
State Government,2019-20,134
State Government,2018-19,173
State Government,2017-18,183
State Government,2016-17,186
State Government,2015-16,164
State Government,2014-15,100
State Government,2013-14,45
State Government,2012-13,126
Local Government,2021-22,10
Local Government,2020-21,14
Local Government,2019-20,7
Local Government,2018-19,5
Local Government,2017-18,1
Local Government,2016-17,4
Local Government,2015-16,14
Local Government,2014-15,15
Local Government,2013-14,7
Local Government,2012-13,9
Universities,2021-22,0
Universities,2020-21,0
Universities,2019-20,1
Universities,2018-19,0
Universities,2017-18,1
Universities,2016-17,1
Universities,2015-16,0
Universities,2014-15,0
Universities,2013-14,0
Universities,2012-13,0
