sector,reason,year,value
State Government,financial disadvantage,2024-25,65426
State Government,financial disadvantage,2023-24,3114
State Government,financial disadvantage,2022-23,3095
State Government,financial disadvantage,2017-18,277
State Government,financial disadvantage,2016-17,331
State Government,financial disadvantage,2015-16,219
State Government,financial disadvantage,2014-15,260
State Government,financial disadvantage,2013-14,637
State Government,financial disadvantage,2012-13,1017
State Government,Member of Parliament,2024-25,5213
State Government,Member of Parliament,2023-24,1587
State Government,Member of Parliament,2022-23,1839
State Government,Member of Parliament,2017-18,161
State Government,Member of Parliament,2016-17,377
State Government,Member of Parliament,2015-16,371
State Government,Member of Parliament,2014-15,473
State Government,Member of Parliament,2013-14,558
State Government,Member of Parliament,2012-13,626
State Government,Other,2024-25,532
State Government,Other,2023-24,830
State Government,Other,2022-23,400
State Government,Other,2017-18,799
State Government,Other,2016-17,1033
State Government,Other,2015-16,745
State Government,Other,2014-15,542
State Government,Other,2013-14,800
State Government,Other,2012-13,728
State Government,Fee reduced,2017-18,105
State Government,Fee reduced,2016-17,58
State Government,Fee reduced,2015-16,53
State Government,Fee reduced,2014-15,28
State Government,Fee reduced,2013-14,5
State Government,Fee reduced,2012-13,10
Local Government,financial disadvantage,2024-25,996
Local Government,financial disadvantage,2023-24,134
Local Government,financial disadvantage,2022-23,147
Local Government,financial disadvantage,2017-18,8
Local Government,financial disadvantage,2016-17,10
Local Government,financial disadvantage,2015-16,13
Local Government,financial disadvantage,2014-15,16
Local Government,financial disadvantage,2013-14,11
Local Government,financial disadvantage,2012-13,17
Local Government,Member of Parliament,2024-25,36
Local Government,Member of Parliament,2023-24,163
Local Government,Member of Parliament,2022-23,36
Local Government,Member of Parliament,2017-18,10
Local Government,Member of Parliament,2016-17,17
Local Government,Member of Parliament,2015-16,13
Local Government,Member of Parliament,2014-15,19
Local Government,Member of Parliament,2013-14,19
Local Government,Member of Parliament,2012-13,10
Local Government,Other,2024-25,64
Local Government,Other,2023-24,88
Local Government,Other,2022-23,29
Local Government,Other,2017-18,32
Local Government,Other,2016-17,14
Local Government,Other,2015-16,13
Local Government,Other,2014-15,22
Local Government,Other,2013-14,19
Local Government,Other,2012-13,18
Local Government,Fee reduced,2017-18,0
Local Government,Fee reduced,2016-17,1
Local Government,Fee reduced,2015-16,0
Local Government,Fee reduced,2014-15,1
Local Government,Fee reduced,2013-14,0
Local Government,Fee reduced,2012-13,0
Universities,financial disadvantage,2024-25,35
Universities,financial disadvantage,2023-24,45
Universities,financial disadvantage,2022-23,10
Universities,financial disadvantage,2017-18,0
Universities,financial disadvantage,2016-17,0
Universities,financial disadvantage,2015-16,0
Universities,financial disadvantage,2014-15,0
Universities,financial disadvantage,2013-14,0
Universities,financial disadvantage,2012-13,0
Universities,Member of Parliament,2024-25,3
Universities,Member of Parliament,2023-24,17
Universities,Member of Parliament,2022-23,0
Universities,Member of Parliament,2017-18,3
Universities,Member of Parliament,2016-17,30
Universities,Member of Parliament,2015-16,3
Universities,Member of Parliament,2014-15,3
Universities,Member of Parliament,2013-14,3
Universities,Member of Parliament,2012-13,6
Universities,Other,2024-25,1
Universities,Other,2023-24,2
Universities,Other,2022-23,0
Universities,Other,2017-18,1
Universities,Other,2016-17,0
Universities,Other,2015-16,0
Universities,Other,2014-15,1
Universities,Other,2013-14,0
Universities,Other,2012-13,0
Universities,Fee reduced,2017-18,0
Universities,Fee reduced,2016-17,0
Universities,Fee reduced,2015-16,0
Universities,Fee reduced,2014-15,0
Universities,Fee reduced,2013-14,0
Universities,Fee reduced,2012-13,0
