metric,year,value
Average days open - FOI external reviews,2021-22,86
Average days open - FOI external reviews,2022-23,57
Average days open - FOI external reviews,2023-24,87
Average days open - FOI external reviews,2024-25,117
Average days open - FOI complaints,2021-22,55
Average days open - FOI complaints,2022-23,34
Average days open - FOI complaints,2023-24,53
Average days open - FOI complaints,2024-25,66
