outcome,total,percent
FOI\Application for Review Withdrawn by Applicant,15,8.57%
FOI\Application for review withdrawn following OSA intervention,9,5.14%
FOI\Application Settled During Review (s39(5)),10,5.71%
FOI\Determination Confirmed (s39(11)),46,26.29%
FOI\Determination Reversed (s39(11)),5,2.86%
FOI\Determination Revised by Agency (s19(2a)),1,0.57%
FOI\Determination Varied (s39(11)),43,24.57%
FOI\Outside of Jurisdiction,41,23.43%
FOI\Proceedings Suspended (s39(5)(c)(ii)),4,2.29%
FOI\Fees and Charges\Vary,1,0.57%
