STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1571,114259,216659,228947,201095,243572,1006103,34.10%
VIC,1659,23053,44496,39927,33641,37441,180217,7.80%
QLD,1382,75853,89373,69900,44293,39735,320536,17.40%
SA,32371,67335,66350,63186,55107,65870,350219,52.10%
WA,662,12653,47051,55156,47330,57278,220130,21.50%
TAS,188,3033,14258,16754,15926,20365,70524,34.60%
NT,35,305,701,1019,709,439,3208,3.20%
ACT,189,1229,2421,2590,1995,1996,10420,6.80%
TOTAL,38057,297720,481309,477479,400096,466696,2161357,23.40%
