STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month,,,,,,,,,,,,,,
NSW,1958311,45.73%,-0.18%,,,,,,,,,,,,,,
VIC,427063,9.97%,-0.37%,,,,,,,,,,,,,,
QLD,617343,14.42%,-0.25%,,,,,,,,,,,,,,
SA,669449,15.63%,0.10%,,,,,,,,,,,,,,
WA,439368,10.26%,-0.17%,,,,,,,,,,,,,,
TAS,138704,3.24%,-0.13%,,,,,,,,,,,,,,
NT,7215,0.17%,-0.40%,,,,,,,,,,,,,,
ACT,25048,0.58%,-0.45%,,,,,,,,,,,,,,
TOTAL,4282501,100.00%,-0.16%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
