STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2022570,47.27%,-0.08%
VIC,441373,10.31%,-0.17%
QLD,624521,14.60%,-0.10%
SA,554367,12.96%,-0.20%
WA,458688,10.72%,-0.22%
TAS,144999,3.39%,-0.18%
NT,7676,0.18%,-0.49%
ACT,24802,0.58%,-0.45%
TOTAL,4278996,100.00%,-0.13%
