STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,40184,200009,237282,227208,173415,155670,1033768,37.25%
VIC,4661,42749,42664,40943,29697,25720,186434,8.75%
QLD,35645,94343,82269,55157,34250,23546,325210,18.95%
SA,26962,57856,56504,56413,45680,39936,283351,44.17%
WA,1701,36686,57286,54467,41874,36773,228787,25.59%
TAS,352,10779,17063,17698,13866,13462,73220,37.74%
NT,97,443,1039,902,588,275,3344,3.83%
ACT,346,1768,2777,2398,1846,1333,10468,7.51%
TOTAL,109948,444633,496884,455186,341216,296715,2144582,25.00%
