Executive employment in the Department for Child Protection,,,,,,
,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20
EXECOF,1,1,1,1,1,1
SAES 2,5,8,5,3,4,5
SAES 1,15,13,10,8,9,7
