STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1993668,46.85%,-0.05%
VIC,429335,10.09%,-0.07%
QLD,618223,14.53%,-0.03%
SA,598077,14.06%,0.22%
WA,443292,10.42%,-0.03%
TAS,141111,3.32%,-0.17%
NT,7196,0.17%,-0.11%
ACT,24294,0.57%,0.05%
TOTAL,4255196,100.00%,-0.01%
