DATAFLOW,MEASURE,SEX,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2014,3724215,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2015,3776574,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2016,3833807,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2017,3896830,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2018,3950763,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2019,3999452,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2020,4030710,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2021,4025393,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2022,4059953,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2023,4148089,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2024,4220348,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1971,29.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1972,29.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1973,29.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1974,29.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1975,29.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1976,29.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1977,30.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1978,30.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1979,30.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1980,30.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1981,31,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1982,31.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1983,31.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1984,31.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1985,32.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1986,32.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1987,32.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1988,32.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1989,33.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1990,33.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1991,33.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1992,33.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1993,34.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1994,34.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1995,34.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1996,35.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1997,35.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1998,35.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,1999,36.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2000,36.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2001,36.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2002,36.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2003,37.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2004,37.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2005,37.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2006,37.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2007,37.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2008,37.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2009,38,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2010,38.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2011,38.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2012,38.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2013,38.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2014,38.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2015,38.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2016,38.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2017,38.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2018,38.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2019,38.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2020,39,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2021,39.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2022,39.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2023,39.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),2,2,1,A,2024,39.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1971,39847,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1972,39025,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1973,37900,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1974,37770,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1975,36328,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1976,35268,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1977,34976,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1978,34530,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1979,35220,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1980,35001,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1981,38935,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1982,40599,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1983,42085,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1984,40446,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1985,40437,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1986,40371,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1987,39365,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1988,40561,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1989,42071,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1990,44868,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1991,44160,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1992,46240,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1993,46778,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1994,46578,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1995,46484,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1996,47769,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1997,46965,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1998,47046,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,1999,46503,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2000,47278,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2001,47678,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2002,47771,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2003,48342,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2004,49940,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2005,51707,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2006,52695,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2007,61306,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2008,63168,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2009,66149,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2010,64523,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2011,63253,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2012,63837,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2013,63354,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2014,63066,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2015,61745,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2016,61841,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2017,61158,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2018,61931,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2019,61735,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2020,59490,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2021,64111,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2022,62094,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2023,58458,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,3,3,A,2024,58838,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1974,3657,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1975,3390,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1976,3254,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1977,3285,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1978,3373,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1979,3351,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1980,3281,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1981,3556,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1982,3423,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1983,3411,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1984,3550,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1985,3588,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1986,3335,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1987,3307,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1988,3346,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1989,3307,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1990,3423,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1991,3416,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1992,3392,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1993,3312,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1994,3347,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1995,3180,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1996,3111,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1997,2909,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1998,2925,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,1999,2976,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2000,2707,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2001,3054,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2002,2985,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2003,2770,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2004,2787,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2005,3080,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2006,3126,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2007,3270,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2008,3322,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2009,3235,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2010,3068,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2011,3203,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2012,3024,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2013,3014,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2014,2906,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2015,2748,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2016,2916,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2017,2767,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2018,2692,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2019,2768,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2020,2846,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2021,2920,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2022,2728,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2023,2729,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),3,2,6,A,2024,2757,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1971,8.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1972,8.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1973,8.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1974,8.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1975,7.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1976,8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1977,7.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1978,7.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1979,7.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1980,7.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1981,7.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1982,7.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1983,7.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1984,7.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1985,7.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1986,7.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1987,7.2,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1988,7.3,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1989,7.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1990,7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1991,6.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1992,7.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1993,6.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1994,7.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1995,6.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1996,7.1,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1997,7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1998,6.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,1999,6.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2000,6.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2001,6.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2002,6.9,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2003,6.7,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2004,6.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2005,6.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2006,6.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2007,6.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2008,6.8,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2009,6.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2010,6.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2011,6.6,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2012,6.5,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2013,6.4,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2014,6.542,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2015,6.678,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2016,6.552,NUM,,
ABS:DEATHS_SUMMARY(1.0.0),5,3,AUS,A,2017,6.543,NUM,,
