DATAFLOW,MEASURE,SEX,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1971,398073,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1972,400308,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1973,403087,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1974,406151,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1975,410088,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1976,412314,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1977,415032,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1978,417642,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1979,420756,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1980,423590,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1981,427224,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1982,429845,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1983,432805,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1984,437760,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1985,442828,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1986,446473,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1987,449226,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1988,451148,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1989,455258,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1990,462188,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1991,466802,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1992,469979,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1993,471987,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1994,473499,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1995,474515,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1996,475605,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1997,474908,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1998,473430,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,1999,473030,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2000,473123,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2001,473668,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2002,474152,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2003,478534,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2004,483178,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2005,486202,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2006,489302,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2007,493262,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2008,498568,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2009,504353,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2010,508847,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2011,511483,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2012,511724,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2013,512231,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2014,513621,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2015,515117,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2016,517514,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2017,526762,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2018,537291,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2019,547841,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2020,557578,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2021,567239,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2022,571013,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2023,572780,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,3,6,A,2024,575366,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1971,2373784,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1972,2407712,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1973,2428527,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1974,2452418,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1975,2467784,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1976,2476978,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1977,2496098,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1978,2519784,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1979,2546874,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1980,2576617,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1981,2608351,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1982,2643527,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1983,2668049,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1984,2692083,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1985,2723253,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1986,2756990,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1987,2798066,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1988,2842852,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1989,2876807,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1990,2905892,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1991,2936262,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1992,2964164,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1993,2981014,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1994,3004486,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1995,3033790,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1996,3066993,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1997,3099735,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1998,3128919,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,1999,3163238,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2000,3199392,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2001,3241835,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2002,3265784,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2003,3283709,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2004,3297397,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2005,3316494,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2006,3339035,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2007,3387138,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2008,3445097,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2009,3502936,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2010,3548107,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2011,3585109,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2012,3626400,PSNS,,
ABS:DEATHS_SUMMARY(1.0.0),1,1,1,A,2013,3674410,PSNS,,
