table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,13839
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,26696
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,23658
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,9681
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5033
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,2086
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,3843
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,2060
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,86896
7A.15,"Real net recurrent expenditure, civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real net recurrent expenditure; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,11234
