table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,96
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,149
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,136
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,79
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,113
7A.4,"Lodgments, civil, per 100,000 people",2019-20,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,103
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,85
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,104
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,115
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,93
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,153
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,122
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,73
