table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,1.0
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,1.6
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,1.6
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,1.3
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,0.7
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,3.6
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,3.8
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,4.3
7A.29,"Judicial officers per 1,000 finalisations",2024-25,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,1.4
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,1.0
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,1.7
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,1.6
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,1.2
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,0.9
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,3.5
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,4.0
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,4.4
7A.29,"Judicial officers per 1,000 finalisations",2023-24,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,1.5
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,1.0
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,1.6
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,1.5
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,WA,1.1
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,SA,1.0
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Tas,3.2
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,ACT,4.1
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NT,5.1
7A.29,"Judicial officers per 1,000 finalisations",2022-23,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Aust,1.4
7A.29,"Judicial officers per 1,000 finalisations",2021-22,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,NSW,0.9
7A.29,"Judicial officers per 1,000 finalisations",2021-22,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Vic,1.6
7A.29,"Judicial officers per 1,000 finalisations",2021-22,Judicial officers,Number of FTE judicial officers per 1000 finalisations,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),rate,Qld,1.5
