table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7688
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,7290
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,6623
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,3367
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,4174
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,833
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,269
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,352
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,30596
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,63
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,0
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,0
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,1
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,64
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,NSW,7751
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Vic,7290
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Qld,6623
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,WA,3367
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,4174
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Tas,833
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,ACT,270
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,NT,352
7A.6,"Finalisations, civil",2024-25,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Aust,30660
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,6949
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,7147
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,6055
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,3337
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3261
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,856
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,255
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,338
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,28198
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,168
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,0
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,0
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,0
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,168
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,NSW,7117
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Vic,7147
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Qld,6055
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,WA,3337
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,3261
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Tas,856
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,ACT,255
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,NT,338
7A.6,"Finalisations, civil",2023-24,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,Aust,28366
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7446
