table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,91
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,104
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,118
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,112
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,221
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,145
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,56
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,134
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,112
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,84
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,103
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,110
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,114
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,175
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,149
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,54
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,133
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,105
7A.8,"Finalisations, civil, per 100,000 people",2022-23,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,91
7A.8,"Finalisations, civil, per 100,000 people",2022-23,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,116
7A.8,"Finalisations, civil, per 100,000 people",2022-23,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,112
7A.8,"Finalisations, civil, per 100,000 people",2022-23,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,127
7A.8,"Finalisations, civil, per 100,000 people",2022-23,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,175
