table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,NSW,1666
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,Vic,3461
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,Qld,3402
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,WA,2719
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,SA,1156
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,Tas,2432
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,ACT,9185
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,NT,5850
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2024-25,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,Aust,2649
7A.32,"Real net recurrent expenditure per finalisation, civil, 2024-25 dollars",2023-24,Real net recurrent expenditure per finalisation,Real net recurrent expenditure per finalisation; civil,Excluding payroll tax,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,NSW,1440
