table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,4125
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,4981
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,2256
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,3317
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2635
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,1002
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,533
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,457
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,1508
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,1712
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,960
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,1091
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,1040
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,514
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,285
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,136
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,NSW,537
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,Vic,770
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,Qld,484
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,WA,249
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,SA,511
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,Tas,134
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,ACT,157
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,NT,51
