table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NSW,8.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Vic,11.9
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Qld,10.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,WA,4.4
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,SA,3.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Tas,3.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,ACT,1.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NT,1.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Aust,43.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,0.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,0.6
7A.28,"Judicial officers (FTE and number per 100,000 people)",2024-25,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7.3
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Vic,12.3
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Qld,9.9
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,WA,3.9
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,SA,2.8
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Tas,3.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,ACT,1.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NT,1.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Aust,41.7
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,0.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,0.6
7A.28,"Judicial officers (FTE and number per 100,000 people)",2023-24,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7.4
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Vic,12.4
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Qld,9.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,WA,4.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,SA,3.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Tas,3.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,ACT,1.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NT,1.8
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Aust,41.9
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,0.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,0.7
7A.28,"Judicial officers (FTE and number per 100,000 people)",2022-23,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Vic,11.9
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Qld,9.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,WA,4.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,SA,3.6
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Tas,3.0
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,ACT,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,NT,1.5
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers,Civil,,,,Australian state and territory court authorities and departments (unpublished),no.,Aust,40.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,0.1
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,0.2
7A.28,"Judicial officers (FTE and number per 100,000 people)",2021-22,Judicial officers,Number of FTE judicial officers per 100000 people,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,0.1
