table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,36
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Tas,1
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,ACT,52
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NT,78
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Aust,1331
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,NSW,286
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Vic,0
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,Qld,375
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,WA,96
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,45
