table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3201
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2022-23,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,3201
7A.6,"Finalisations, civil",2021-22,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2674
7A.6,"Finalisations, civil",2021-22,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2021-22,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2674
7A.6,"Finalisations, civil",2020-21,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2868
7A.6,"Finalisations, civil",2020-21,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2020-21,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2868
7A.6,"Finalisations, civil",2019-20,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2458
7A.6,"Finalisations, civil",2019-20,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2019-20,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2458
7A.6,"Finalisations, civil",2018-19,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2720
7A.6,"Finalisations, civil",2018-19,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2018-19,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2720
7A.6,"Finalisations, civil",2017-18,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2818
7A.6,"Finalisations, civil",2017-18,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,0
7A.6,"Finalisations, civil",2017-18,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2818
