table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7564
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,7581
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Qld,5990
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,WA,3315
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3848
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,960
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,376
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NT,377
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,30011
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,38
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,1
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,0
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,0
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,39
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7602
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,7582
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,5990
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,3315
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3848
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,960
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,376
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,377
7A.2,"Lodgments, civil",2024-25,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,30050
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7342
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,7413
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Qld,6071
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,WA,3310
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3493
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,1142
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,328
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NT,391
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,29490
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,44
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,0
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,0
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,1
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,45
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7386
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,7413
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,6071
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,3310
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3493
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,1142
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,329
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,391
7A.2,"Lodgments, civil",2023-24,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,29535
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7476
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,7480
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Qld,6530
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,WA,3291
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3340
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,895
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,329
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NT,356
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,29697
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,68
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,0
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,0
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,0
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,68
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7544
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,7480
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,6530
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,3291
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,3340
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,895
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,329
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,356
7A.2,"Lodgments, civil",2022-23,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,Aust,29765
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,7330
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,7198
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Qld,6044
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,WA,2940
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,SA,3074
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,880
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,370
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,NT,378
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Deaths reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,28214
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,NSW,108
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Vic,2
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Tas,0
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,ACT,3
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Fires reported,,Australian state and territory court authorities and departments (unpublished),no.,Aust,113
7A.2,"Lodgments, civil",2021-22,Lodgments,Lodgments; civil,,,Total coroners' courts (incl. deaths and fires reported),,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7438
