table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,7.2
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,3.2
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,5.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,1.1
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2.3
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,1.5
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,7.2
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2024-25,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,1.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,6.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,2.9
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,3.2
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,1.1
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2.3
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,3.8
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,1.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2023-24,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,1.8
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,6.3
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,2.4
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,5.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,1.1
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,4.5
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,7.9
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,4.8
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2022-23,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,2.3
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,5.5
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,2.1
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,3.3
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,1.1
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2.6
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,3.6
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,3.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2021-22,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,0.8
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,4.5
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,2.3
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,2.6
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,WA,1.4
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Tas,3.5
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,ACT,11.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2020-21,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NT,1.0
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2019-20,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,NSW,6.2
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2019-20,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Vic,1.5
7A.24,Attendance indicator (average number of attendances per finalisation) — inquest attendances,2019-20,Average attendances per finalisation,Average attendances per finalisation,Civil,,,,Derived from Australian state and territory court authorities and departments (unpublished),no.,Qld,3.0
