STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,368359,21.82%,0.64%
VIC,421150,24.95%,0.64%
QLD,338985,20.08%,0.35%
SA,186232,11.03%,0.70%
WA,269517,15.97%,0.27%
TAS,52916,3.13%,0.40%
NT,13296,0.79%,0.49%
ACT,37629,2.23%,0.66%
TOTAL,1688084,100.00%,0.52%
