STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,325,7711,34316,43200,39507,41370,57403,223832,7.64%
VIC,367,19968,58171,56314,44384,39459,42874,261537,11.51%
QLD,328,12264,38056,43288,39295,37200,40125,210556,11.81%
SA,2322,13335,17686,18110,17740,18248,22997,110438,16.33%
WA,151,12777,35228,33976,30154,26805,26519,165610,17.75%
TAS,86,2646,5685,6124,6235,6367,5973,33116,15.96%
NT,14,677,2238,2046,1708,1172,618,8473,11.59%
ACT,30,2052,5749,4848,3848,3156,3265,22948,15.24%
TOTAL,3623,71430,197129,207906,182871,173777,199774,1036510,11.49%
