STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2008299,47.12%,-0.06%
VIC,436295,10.24%,-0.19%
QLD,620695,14.56%,-0.06%
SA,571851,13.42%,0.21%
WA,449881,10.55%,-0.14%
TAS,143405,3.36%,-0.08%
NT,7383,0.17%,-0.51%
ACT,24468,0.57%,-0.32%
TOTAL,4262277,100.00%,-0.05%
