STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,376874,21.93%,0.39%
VIC,429448,24.99%,0.35%
QLD,343089,19.97%,0.20%
SA,192188,11.18%,0.40%
WA,271661,15.81%,0.13%
TAS,53294,3.10%,0.05%
NT,13454,0.78%,0.06%
ACT,38343,2.23%,0.34%
TOTAL,1718351,100.00%,0.29%
